1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5.865714,71.260952,84.458571,0.844762,0.801429,0.255714,0.222857,77.296667,51.326667,1.007619,0.096667,0.366667,2.380952,19.904762,3557.619048,1.018615
5.886667,70.830476,84.461905,0.838571,0.791905,0.248571,0.219048,77.176667,52.17619,1.001905,0.097619,0.342857,2.452381,17.238095,3433.571429,1.018678
5.950476,72.17381,84.447619,0.832857,0.791905,0.245714,0.216667,77.244286,53.116667,0.987619,0.097143,0.338095,2.547619,15.238095,3241.571429,1.018896
5.936667,72.205714,84.474286,0.835238,0.792381,0.245238,0.216667,77.251905,53.098571,0.986667,0.096667,0.338095,2.566667,15.428571,3001.190476,1.018561
5.947619,72.030952,84.544762,0.829524,0.794286,0.245238,0.215714,77.34,52.993333,0.961905,0.095714,0.338095,2.742857,15.952381,2814.333333,1.017645
5.925238,70.25381,84.538571,0.837619,0.800476,0.244286,0.21619,77.381429,52.37,0.96381,0.094286,0.333333,2.67619,15.047619,3065.52381,1.017515
5.89,68.310476,84.541429,0.849048,0.810476,0.245238,0.217619,77.397619,51.121429,0.967619,0.091905,0.342857,2.766667,15.761905,2613.809524,1.017576
5.884762,67.589048,84.544286,0.850476,0.81381,0.247619,0.218095,77.410476,50.339524,0.96619,0.090952,0.357143,2.742857,16.285714,2631.047619,1.017165
5.85,66.269333,84.577333,0.858667,0.82,0.25,0.219333,77.442667,49.103333,0.972,0.088,0.36,2.673333,16.8,2655.266667,1.016699
5.891111,66.876667,84.533333,0.851111,0.825556,0.254444,0.22,77.392222,49.182222,0.97,0.086667,0.322222,2.411111,15.222222,3023.777778,1.017553
5.702,77.112,84.606,0.88,0.81,0.252,0.216,77.188,52.95,0.94,0.104,0.4,2.38,21,1242.6,1.025764
5.805455,74.458182,84.354545,0.88,0.809091,0.248182,0.215455,77.093636,53.586364,0.942727,0.107273,0.4,2.463636,18,573.454545,1.026277
5.75381,75.207143,84.358095,0.890952,0.811905,0.249048,0.216667,76.966667,48.397143,0.962857,0.104762,0.32381,2.519048,18.142857,1466.571429,1.028023
5.736667,75.209524,84.314286,0.92,0.826667,0.250476,0.22,76.960476,45.739048,1.007143,0.102857,0.3,2.585714,19.47619,2225.52381,1.028612
5.611905,77.601429,84.277143,0.985714,0.857143,0.257619,0.227619,77.075714,45.679048,1.084762,0.100476,0.295238,2.733333,17.761905,2901.809524,1.029358
5.583333,78.76619,84.291905,0.997619,0.86,0.257619,0.228571,77.176667,46.345238,1.100476,0.098095,0.304762,2.709524,17.952381,2986.904762,1.029439
5.57,83.608571,84.369048,0.975714,0.845714,0.252857,0.225714,77.24381,48.541905,1.070952,0.09619,0.333333,2.685714,15.571429,2884.047619,1.026349
5.662381,80.245238,84.325238,0.951905,0.837619,0.247619,0.222381,77.210952,50.022857,1.049524,0.094762,0.361905,2.647619,14.190476,2212,1.023162
5.722857,70.634286,84.307143,0.933333,0.832381,0.244286,0.222381,77.079524,50.092857,1.048095,0.095714,0.352381,2.761905,12.095238,1747.571429,1.021451
5.729524,65.411429,84.294762,0.935238,0.830952,0.243333,0.222857,77.039048,50.161429,1.067143,0.094762,0.338095,2.72381,12.857143,2022,1.021208
